Name,Tags,ROOT FOLDER,Docs/Folder
1. Onboarding,FOLDER,,EXAMPLE ONBOARDING DOCUMENTS (EXAMPLE%20ONBOARDING%20DOCUMENTS%200386559085ff4956b620f2833774b8be.md)
2. Financial Statements,FOLDER,,
3. Invoices,FOLDER,,
4. Receipts,FOLDER,,
5. Bank Statements,FOLDER,,
6. Tax Documents,FOLDER,,
7. Marketing,FOLDER,,
8. Reports,FOLDER,,
9. Misc,FOLDER,,
EXAMPLE ONBOARDING DOCUMENTS,DOCUMENT,1. Onboarding (1%20Onboarding%20c9198f4950f7486a813f17de5e4f28f4.md),
All State Insurance Settlement 5bb3fc7f29f94583a1fe50a524a8367c,,,
Bridgecrest,,,
"Bridgecrest 2 ",,,
Carlos Contreras - Docs,,,
EVICTIONS,,,
"RICE-VELASQUEZ, Joel - Receipt Notice - email a9980cb6959744c4b694405e3a3244b1",,,
"RICE-VELASQUEZ, Joel - Receipt Notice 760bdb071d884cf5b2a5b2fe97398135",,,
Stop Do Not Knock Door Sign 46fb0f7e04774298b9584804543bb67f,,,
bky-info_english,,,
